title_english,title_nepali,author_profile_link,author_name,Audiobook,E-book,Paperback,Hardcover,publisher_profile_link,publisher_name,genre,published_date,edition,isbn10,isbn13,pages,weight,language
Nirved,निर्वेद,https://www.thuprai.com/author/shailendra-adhikari/,Shailendra Adhikari,,,350,,https://www.thuprai.com/publisher/shikha-books/,Shikha Books,Novels,"September 21, 2019",1,,,,200 g,Nepali
Phitkiri,फिटकिरी,https://www.thuprai.com/author/sajan-k-c/,Sajan K.C.,,,375,,https://www.thuprai.com/publisher/shikha-books/,Shikha Books,Novels,,,,,337,180 g,Nepali
Colonel Chhatrabahadur Thapa,कर्णेल छत्रबहादुर थापा,https://www.thuprai.com/author/kamal-thapa/,Kamal Thapa,,,350,,https://www.thuprai.com/publisher/sangri-la-books/,Sangri-La Books,Biography for Children,,,,,,,Nepali
Bahadur Shah,बहादुर शाह,https://www.thuprai.com/author/chiranjibi-wagle/,Chiranjibi Wagle,,275,675,,https://www.thuprai.com/publisher/publication-nepalaya/,Publication Nepalaya,Historical Fiction,"February 29, 2024",,9937953081,9789937953085,,246 g,Nepali
Chote Ra Motey,छोटे र मोटे,https://www.thuprai.com/author/dr-dhruva-kumar-ghimire/,Dr. Dhruva Kumar Ghimire,,,100,,https://www.thuprai.com/publisher/kathalaya/,Kathalaya,Children,,,9937515114,9789937515115,,,Nepali
Sushee ko Diary,सुशीको डायरी,https://www.thuprai.com/author/arun-sharma/,Arun Sharma,,,,,https://www.thuprai.com/publisher/dikura-publication/,Dikura Publication,Fiction,,,,,,,Nepali
Bardalima farsi,बार्दलीमा फर्सी,https://www.thuprai.com/author/pramod-pradhan/,Pramod Pradhan,,,80,,https://www.thuprai.com/publisher/bal-sansar-pvt-ltd/,Bal Sansar Pvt Ltd,Children,,,,,,,Nepali
Mero Murali,मुरली,https://www.thuprai.com/author/krishna-prasad-parajuli/,Krishna Prasad Parajuli,,,140,,https://www.thuprai.com/publisher/ratna-pustak-bhandar/,Ratna Pustak Bhandar,Story for Children,,,,,40,,Nepali
Dhukdhuki,ढुकढुकी,https://www.thuprai.com/author/dr-sumant-banjaday/,Dr. Sumant Banjaday,,,250,,https://www.thuprai.com/publisher/bibek-sirjanshil-publication/,Bibek Sirjanshil Publication,Story for Children,,,9937312132,9789937312134,84,,Nepali
Registan Diary,रेगिस्तान डायरी,https://www.thuprai.com/author/devendra-bhattarai/,Devendra Bhattarai,,,225,,https://www.thuprai.com/publisher/ratna-pustak-bhandar/,Ratna Pustak Bhandar,Travelogue,2010,3rd,9937810531,9789937810531,208,250 g,Nepali
